City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
77,roxas,11.5853,122.7511,26.75,82,37,7.24,PH,2023-12-13
78,kavieng,-2.5744,150.7967,28.03,79,100,2.33,PG,2023-12-13
79,bethel,41.3712,-73.414,3.42,77,5,0.45,US,2023-12-13
80,usogorsk,63.4106,48.6872,-12.96,93,100,4.03,RU,2023-12-13
81,madera,37.1666,-119.8343,8.93,74,0,1.95,US,2023-12-13
82,coquimbo,-29.9533,-71.3436,16.85,82,75,3.6,CL,2023-12-13
83,flying fish cove,-10.4217,105.6791,25.82,88,100,3.6,CX,2023-12-13
84,puerto ayora,-0.7393,-90.3518,24.03,89,100,3.83,EC,2023-12-13
85,tam ky,15.5667,108.4833,24.42,81,99,0.82,VN,2023-12-13
86,celestun,20.8667,-90.4,22.71,82,38,3.02,MX,2023-12-13
87,ilulissat,69.2167,-51.1,-8.99,86,75,7.72,GL,2023-12-13
88,saipan,15.1355,145.701,27.39,83,20,6.17,MP,2023-12-13
89,illizi,26.4833,8.4667,26.89,11,95,1.18,DZ,2023-12-13
90,navia,43.5354,-6.7194,11.41,79,23,6.04,ES,2023-12-13
91,udachny,66.4167,112.4,-24.22,95,100,5.3,RU,2023-12-13
92,klyuchi,52.2667,79.1667,-23.89,84,73,1.85,RU,2023-12-13
93,cabo san lucas,22.8909,-109.9124,20.42,74,100,2.48,MX,2023-12-13
94,boende,-0.2167,20.8667,26.73,82,44,1.65,CD,2023-12-13
95,geraldton,-28.7667,114.6,21.23,83,0,7.72,AU,2023-12-13
96,sharm el-sheikh,27.8518,34.305,24.08,43,0,3.6,EG,2023-12-13
97,aswan,24.0934,32.907,23.61,35,0,5.14,EG,2023-12-13
98,yellowknife,62.456,-114.3525,-4.69,93,75,3.09,CA,2023-12-13
99,nuuk,64.1835,-51.7216,-6.66,86,75,4.12,GL,2023-12-13
100,tranqueras,-31.2,-55.75,20.71,98,100,1.54,UY,2023-12-13
101,afaahiti,-17.75,-149.2833,24.93,87,96,11.11,PF,2023-12-13
102,kirakira,-10.4544,161.9205,25.73,84,79,4.69,SB,2023-12-13
103,sint michiel liber,12.15,-68.9833,28.9,70,40,8.23,CW,2023-12-13
104,constantia,44.1833,28.65,9.38,78,100,8.84,RO,2023-12-13
105,macae,-22.3708,-41.7869,27.86,57,0,3.09,BR,2023-12-13
106,cox's bazar,21.4532,91.9798,19.64,74,5,3.21,BD,2023-12-13
107,kuqa,41.7278,82.9364,-6.62,59,44,0.95,CN,2023-12-13
108,youhao,47.8667,128.8333,-28.02,99,6,0.9,CN,2023-12-13
109,petropavlovsk-kamchatsky,53.0452,158.6483,-5.67,91,75,8.94,RU,2023-12-13
110,gamawa,12.1343,10.5396,28.6,16,47,5.33,NG,2023-12-13
111,nanga eboko,4.6833,12.3667,30.2,24,100,1.48,CM,2023-12-13
112,ta`u,-14.2336,-169.5144,26.37,87,100,4.91,AS,2023-12-13
113,port mathurin,-19.6833,63.4167,26.81,75,51,5.43,MU,2023-12-13
114,st. john's,47.5649,-52.7093,2.66,78,75,6.69,CA,2023-12-13
115,thompson,55.7435,-97.8558,-15.91,85,75,3.09,CA,2023-12-13
116,imbert,19.7537,-70.8291,23.28,76,98,2.25,DO,2023-12-13
117,mandan,46.8267,-100.8896,-5.44,92,0,3.09,US,2023-12-13
118,cobija,-11.0267,-68.7692,29.1,79,20,0.0,BO,2023-12-13
119,ati,13.2154,18.3353,30.51,14,45,5.46,TD,2023-12-13
120,hami,42.8,93.45,-7.24,32,100,8.64,CN,2023-12-13
121,kaiapoi,-43.3783,172.6401,12.06,91,0,2.06,NZ,2023-12-13
122,ancud,-41.8697,-73.8203,11.29,63,9,0.48,CL,2023-12-13
123,acapulco de juarez,16.8634,-99.8901,25.9,89,40,1.03,MX,2023-12-13
124,liwale,-9.7667,37.9333,32.47,41,25,1.77,TZ,2023-12-13
125,naze,28.3667,129.4833,18.51,83,81,6.11,JP,2023-12-13
126,hinton,53.4001,-117.5857,-0.69,53,100,3.87,CA,2023-12-13
127,saint-francois,46.4154,3.9054,11.69,73,75,4.12,FR,2023-12-13
128,whitehorse,60.7161,-135.0538,-1.22,79,75,6.17,CA,2023-12-13
129,aykhal,66.0,111.5,-25.73,99,100,2.99,RU,2023-12-13
130,lundazi,-12.2929,33.1782,29.26,40,100,1.0,ZM,2023-12-13
131,port alfred,-33.5906,26.891,20.66,77,66,3.58,ZA,2023-12-13
132,bethanie,-26.4833,17.15,36.24,6,0,11.09,,2023-12-13
133,san patricio,28.017,-97.5169,19.91,75,100,6.4,US,2023-12-13
134,georgetown,5.4112,100.3354,26.97,94,20,3.09,MY,2023-12-13
135,ketchikan,55.3422,-131.6461,5.99,87,100,2.57,US,2023-12-13
136,bilibino,68.0546,166.4372,-23.61,98,100,1.97,RU,2023-12-13
137,mayenne,48.3333,-0.6667,10.69,81,75,5.57,FR,2023-12-13
138,vapnyarka,48.5348,28.7436,0.49,94,100,5.58,UA,2023-12-13
139,lihue,21.9789,-159.3672,21.77,94,100,9.77,US,2023-12-13
140,happy valley-goose bay,53.3168,-60.3315,-9.83,79,20,4.12,CA,2023-12-13
141,kone,-21.0595,164.8658,24.64,72,62,1.87,NC,2023-12-13
142,qamdo,31.1667,97.2333,-7.74,46,65,3.53,CN,2023-12-13
143,dryden,49.7833,-92.7503,-14.84,85,40,3.09,CA,2023-12-13
144,dakhla,23.6848,-15.958,26.01,19,56,2.06,EH,2023-12-13
145,san luis de la loma,17.2706,-100.8939,24.17,68,100,2.53,MX,2023-12-13
146,remire-montjoly,4.9167,-52.2667,30.02,79,75,2.57,GF,2023-12-13
147,novaya igirma,57.1334,103.9112,-30.42,97,66,2.17,RU,2023-12-13
148,turochak,52.2576,87.1224,-28.81,99,37,0.21,RU,2023-12-13
149,naracoorte,-36.9579,140.7383,15.57,84,12,6.55,AU,2023-12-13
